Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,,3.5,Tây - Nam,Tây - Nam,2.0,2.0,3.0,Have certificate,Full,5.35,Hồ Chí Minh
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,,,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.9,Hồ Chí Minh
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",74.0,5.0,18.0,Nam,Nam,5.0,4.0,5.0,Have certificate,,9.9,Hà Nội
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,,,Đông - Nam,,2.0,2.0,2.0,Have certificate,Full,3.79,Hồ Chí Minh
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,7.99,Hồ Chí Minh
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,Đông - Nam,Đông,2.0,6.0,5.0,Have certificate,Full,5.6,Hồ Chí Minh
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,,,,2.0,4.0,,Have certificate,Basic,3.25,Hồ Chí Minh
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,,,5.0,4.0,6.0,Have certificate,Basic,9.5,Hồ Chí Minh
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,,3.0,,,2.0,2.0,2.0,Have certificate,Full,3.88,Hồ Chí Minh
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,,,1.0,,,Have certificate,Basic,10.0,Hà Nội
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,,,Đông - Bắc,,3.0,4.0,6.0,Have certificate,,6.5,Hồ Chí Minh
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,,4.0,Đông - Nam,,3.0,3.0,3.0,Have certificate,Full,5.85,Hồ Chí Minh
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6.0,,,5.0,,,Have certificate,,7.5,Hà Nội
"Xã Lại Thượng, Thạch Thất, Hà Nội",378.0,,,,,2.0,3.0,3.0,Have certificate,Full,7.8,Hà Nội
